[1779615865] Trying slug: btc-updown-5m-1779615600
[1779615866] Market: Bitcoin Up or Down - May 24, 5:40AM-5:45AM ET | Bid: 50¢
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 348 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 366 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 80¢ | Size: 7 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 403 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 411 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 70¢ | Size: 18 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 418 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 423 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 444 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 43¢ | Size: 68 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 81¢ | Size: 33 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 431 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 1¢ | Size: 11762 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 409 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 1¢ | Size: 11262 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 429 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 412 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 405 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 398 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 392 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 375 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 344 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 327 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 348 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 1¢ | Size: 11257 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 72¢ | Size: 25 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 66¢ | Size: 21 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 67¢ | Size: 26 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 325 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 307 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 334 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 341 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 361 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 343 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 363 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 72¢ | Size: 15 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 326 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 364 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 384 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 82¢ | Size: 7 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 363 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 356 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 84¢ | Size: 23 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 86¢ | Size: 5 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 383 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 400 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 81¢ | Size: 35 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 1¢ | Size: 11757 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 417 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 397 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 428 | Bid: 83¢ | Momentum: +0.00%
